Number of Branches Processed,Accuracy (%)
10000,70.30999999999999
20000,70.71
30000,74.33333333333333
40000,77.46499999999999
50000,80.4
60000,82.97833333333332
70000,84.80571428571429
80000,86.33625
90000,87.3711111111111
100000,88.173
110000,88.85545454545455
120000,89.5325
130000,90.07153846153845
140000,90.62
150000,91.24533333333333
160000,91.7925
170000,92.27529411764705
180000,92.70444444444445
190000,93.07263157894738
200000,93.419
210000,93.73238095238095
220000,94.01727272727273
230000,94.27739130434783
240000,94.51583333333333
250000,94.73519999999999
260000,94.93769230769232
270000,95.12518518518519
280000,95.29928571428572
290000,95.46137931034482
300000,95.61266666666667
310000,95.75419354838711
320000,95.886875
330000,96.01151515151514
340000,96.12882352941176
350000,96.23942857142858
360000,96.34388888888888
370000,96.4427027027027
380000,96.53631578947368
390000,96.6251282051282
400000,96.7095
