Number of Branches Processed,Accuracy (%)
10000,85.04
20000,90.925
30000,92.75999999999999
40000,93.65
50000,94.27600000000001
60000,94.67166666666667
70000,94.45857142857143
80000,94.555
90000,94.74222222222222
100000,94.926
110000,95.10363636363637
120000,95.235
130000,95.31923076923077
140000,95.42642857142857
150000,95.51533333333333
160000,95.600625
170000,95.67529411764706
180000,95.745
190000,95.76473684210526
200000,95.833
210000,95.88666666666667
220000,95.93545454545455
230000,95.97956521739131
240000,96.01958333333333
250000,96.0484
260000,96.07346153846153
270000,96.10407407407408
280000,96.13892857142858
290000,96.17344827586207
300000,96.18466666666666
310000,96.2074193548387
320000,96.2278125
330000,96.2439393939394
340000,96.26264705882352
350000,96.26771428571429
360000,96.29222222222222
370000,96.30783783783784
380000,96.31815789473684
390000,96.3325641025641
400000,96.34675
