Number of Branches Processed,Accuracy (%)
10000,98.9
20000,99.45
30000,99.63333333333333
40000,99.54499999999999
50000,99.636
60000,99.69666666666667
70000,99.40142857142857
80000,99.47125
90000,99.52777777777779
100000,99.575
110000,99.61363636363636
120000,99.64583333333333
130000,99.67153846153846
140000,99.695
150000,99.71533333333333
160000,99.733125
170000,99.74882352941177
180000,99.76277777777779
190000,99.77421052631578
200000,99.7855
210000,99.79571428571428
220000,99.80499999999999
230000,99.81347826086957
240000,99.82124999999999
250000,99.82839999999999
260000,99.835
270000,99.84111111111112
280000,99.84678571428572
290000,99.85206896551723
300000,99.857
310000,99.8616129032258
320000,99.8659375
330000,99.87
340000,99.87382352941177
350000,99.87742857142857
360000,99.88083333333333
370000,99.88405405405405
380000,99.88710526315789
390000,99.89
400000,99.89274999999999
