Number of Branches Processed,Accuracy (%)
10000,99.57000000000001
20000,99.785
30000,99.85666666666667
40000,99.81
50000,99.848
60000,99.87333333333333
70000,99.79142857142858
80000,99.815
90000,99.83444444444444
100000,99.851
110000,99.86454545454545
120000,99.87583333333333
130000,99.88461538461539
140000,99.89285714285714
150000,99.9
160000,99.90625
170000,99.91176470588236
180000,99.91666666666667
190000,99.92052631578947
200000,99.92450000000001
210000,99.92809523809524
220000,99.93136363636364
230000,99.93434782608695
240000,99.93708333333333
250000,99.9396
260000,99.94192307692308
270000,99.94407407407408
280000,99.94607142857143
290000,99.94793103448276
300000,99.94966666666667
310000,99.95129032258065
320000,99.9528125
330000,99.95424242424242
340000,99.95558823529412
350000,99.95685714285715
360000,99.95805555555556
370000,99.95918918918919
380000,99.96026315789473
390000,99.96128205128205
400000,99.96225
