Number of Branches Processed,Accuracy (%)
10000,96.94
20000,98.39
30000,98.88666666666667
40000,99.06
50000,99.232
60000,99.355
70000,99.34428571428572
80000,99.40625
90000,99.46000000000001
100000,99.512
110000,99.55454545454545
120000,99.58916666666666
130000,99.61461538461538
140000,99.64
150000,99.66333333333334
160000,99.68375
170000,99.70058823529412
180000,99.71444444444445
190000,99.72473684210527
200000,99.7375
210000,99.75
220000,99.75954545454545
230000,99.76826086956521
240000,99.77666666666667
250000,99.7856
260000,99.7926923076923
270000,99.8
280000,99.80607142857143
290000,99.81241379310345
300000,99.81866666666667
310000,99.82387096774194
320000,99.82906249999999
330000,99.8339393939394
340000,99.83735294117648
350000,99.84171428571429
360000,99.84555555555555
370000,99.84864864864865
380000,99.85157894736842
390000,99.85512820512821
400000,99.85875
