Number of Branches Processed,Accuracy (%)
10000,77.45
20000,79.445
30000,82.61333333333334
40000,84.44749999999999
50000,82.134
60000,81.10833333333333
70000,82.78142857142858
80000,84.16875
90000,85.37555555555556
100000,86.046
110000,86.91
120000,87.42750000000001
130000,87.18846153846154
140000,87.20428571428572
150000,87.69866666666667
160000,88.03937499999999
170000,88.09529411764706
180000,88.21722222222222
190000,88.4
200000,87.93900000000001
210000,87.92952380952381
220000,87.69954545454546
230000,87.71739130434783
240000,87.82708333333333
250000,87.988
260000,88.2376923076923
270000,88.31518518518519
280000,88.52535714285715
290000,88.65620689655172
300000,88.76633333333334
310000,88.70935483870967
320000,88.4278125
330000,88.41878787878787
340000,88.50264705882353
350000,88.584
360000,88.77222222222223
370000,88.68810810810811
380000,88.53105263157894
390000,88.29615384615384
400000,88.1385
