Number of Branches Processed,Accuracy (%)
10000,66.57
20000,68.425
30000,70.13333333333334
40000,71.5275
50000,69.57799999999999
60000,67.72166666666666
70000,68.29714285714286
80000,69.46625
90000,70.4711111111111
100000,70.96000000000001
110000,71.49454545454546
120000,71.93
130000,71.44846153846154
140000,70.69
150000,70.77
160000,70.80375
170000,70.61117647058823
180000,70.48833333333333
190000,70.42315789473685
200000,69.7765
210000,69.88761904761904
220000,69.86727272727272
230000,70.02000000000001
240000,70.02458333333334
250000,70.2624
260000,70.80230769230769
270000,71.04370370370371
280000,71.34142857142857
290000,71.56103448275863
300000,71.819
310000,71.57387096774194
320000,71.275
330000,71.37575757575758
340000,71.66558823529412
350000,71.55228571428572
360000,71.54277777777777
370000,71.4272972972973
380000,71.2578947368421
390000,70.91461538461539
400000,70.627
