Number of Branches Processed,Accuracy (%)
10000,81.31
20000,85.495
30000,87.82666666666667
40000,88.9975
50000,86.834
60000,85.045
70000,86.23857142857143
80000,87.35875
90000,88.37333333333333
100000,89.024
110000,89.67818181818183
120000,90.05499999999999
130000,89.55692307692308
140000,89.51071428571429
150000,89.956
160000,90.2
170000,90.28294117647059
180000,90.47611111111111
190000,90.71684210526317
200000,89.925
210000,89.62190476190476
220000,89.29681818181818
230000,89.06608695652174
240000,88.88333333333334
250000,88.88000000000001
260000,88.9026923076923
270000,88.78074074074074
280000,88.81
290000,88.89896551724138
300000,88.96233333333333
310000,88.69645161290323
320000,88.2603125
330000,88.43727272727273
340000,88.6435294117647
350000,88.53685714285714
360000,88.67527777777778
370000,88.43324324324324
380000,88.36868421052631
390000,88.00871794871796
400000,87.64225
