Number of Branches Processed,Accuracy (%)
10000,63.09
20000,62.975
30000,64.27666666666667
40000,64.9725
50000,63.837999999999994
60000,62.370000000000005
70000,63.25714285714285
80000,63.9925
90000,64.58
100000,64.85
110000,65.33727272727273
120000,65.69833333333334
130000,65.59384615384616
140000,65.29071428571429
150000,65.27533333333334
160000,65.15625
170000,65.12176470588236
180000,65.02166666666666
190000,65.01473684210526
200000,64.6495
210000,64.92904761904762
220000,64.81636363636363
230000,64.99608695652174
240000,65.03291666666667
250000,65.178
260000,65.51192307692307
270000,65.61814814814815
280000,65.84571428571428
290000,65.8848275862069
300000,66.01433333333333
310000,65.9058064516129
320000,65.8165625
330000,65.94606060606061
340000,66.0870588235294
350000,66.13771428571428
360000,66.24111111111111
370000,66.19864864864866
380000,66.13894736842106
390000,65.91384615384615
400000,65.77175
