Number of Branches Processed,Accuracy (%)
10000,64.46
20000,65.21000000000001
30000,66.02
40000,66.2875
50000,65.60000000000001
60000,64.64333333333333
70000,65.03857142857143
80000,65.25874999999999
90000,65.46888888888888
100000,65.683
110000,65.99818181818182
120000,66.27583333333334
130000,66.40692307692308
140000,66.27214285714285
150000,66.21066666666667
160000,66.053125
170000,66.16176470588235
180000,66.08888888888889
190000,66.08578947368422
200000,65.8875
210000,66.30619047619048
220000,66.57954545454545
230000,66.99782608695652
240000,67.175
250000,67.4328
260000,67.99076923076923
270000,68.22407407407407
280000,68.48214285714286
290000,68.61827586206897
300000,68.80433333333333
310000,68.74064516129033
320000,68.6328125
330000,68.8
340000,68.92441176470588
350000,68.93171428571428
360000,68.87944444444445
370000,68.8681081081081
380000,68.8207894736842
390000,68.65948717948717
400000,68.501
