Number of Branches Processed,Accuracy (%)
10000,57.06
20000,57.03
30000,57.99999999999999
40000,59.185
50000,59.742
60000,59.8
70000,60.68285714285714
80000,60.612500000000004
90000,61.23111111111111
100000,61.385999999999996
110000,61.583636363636366
120000,61.9525
130000,62.05307692307692
140000,62.42071428571428
150000,62.504000000000005
160000,62.403125
170000,62.50705882352941
180000,62.39611111111111
190000,62.38789473684211
200000,62.224999999999994
210000,62.19857142857143
220000,62.10181818181818
230000,62.22565217391305
240000,62.485
250000,62.69519999999999
260000,62.72807692307693
270000,62.94
280000,62.876071428571436
290000,62.903448275862075
300000,62.895
