Number of Branches Processed,Accuracy (%)
10000,63.24999999999999
20000,62.845
30000,64.03333333333333
40000,65.63
50000,66.458
60000,67.14166666666667
70000,68.00571428571428
80000,67.82375
90000,68.72222222222221
100000,68.895
110000,69.28
120000,70.0275
130000,70.13230769230769
140000,70.62642857142856
150000,70.65533333333333
160000,70.5775
170000,70.64058823529412
180000,70.57222222222222
190000,70.57789473684211
200000,70.46900000000001
210000,70.4447619047619
220000,70.37772727272727
230000,70.47130434782609
240000,70.63583333333334
250000,70.9216
260000,71.04423076923077
270000,71.1874074074074
280000,71.22785714285715
290000,71.36862068965517
300000,71.51466666666667
