Number of Branches Processed,Accuracy (%)
10000,84.1
20000,83.315
30000,84.83666666666667
40000,86.21
50000,87.046
60000,87.58
70000,88.25571428571428
80000,88.46125
90000,88.88888888888889
100000,89.096
110000,89.3509090909091
120000,89.62166666666667
130000,89.7623076923077
140000,89.97500000000001
150000,90.116
160000,90.154375
170000,90.25470588235294
180000,90.23166666666667
190000,90.29684210526315
200000,90.2945
210000,90.28904761904762
220000,90.28727272727272
230000,90.25260869565217
240000,90.32416666666667
250000,90.4164
260000,90.47038461538462
270000,90.54037037037037
280000,90.57285714285715
290000,90.62896551724138
300000,90.66233333333334
