Number of Branches Processed,Accuracy (%)
10000,86.98
20000,87.27000000000001
30000,86.33
40000,86.845
50000,87.138
60000,87.42333333333333
70000,88.01857142857142
80000,88.7675
90000,88.86111111111111
100000,89.17
110000,89.34727272727272
120000,88.945
130000,88.87384615384616
140000,89.02214285714287
150000,89.27733333333333
160000,89.231875
170000,89.50411764705882
180000,89.63333333333333
190000,89.57052631578948
200000,89.656
210000,89.83904761904762
220000,90.10727272727273
230000,90.2904347826087
240000,90.43833333333333
250000,90.598
260000,90.72346153846154
270000,90.76777777777778
280000,90.75857142857143
290000,90.89896551724138
300000,91.033
310000,91.12903225806451
320000,91.1421875
330000,91.00727272727272
340000,90.97735294117648
350000,91.02057142857143
360000,91.18166666666667
370000,91.19405405405405
380000,91.24
390000,91.26307692307692
400000,91.34875
