Number of Branches Processed,Accuracy (%)
10000,91.33
20000,93.03
30000,91.89
40000,92.56
50000,92.99
60000,93.33833333333334
70000,93.73714285714286
80000,94.36875
90000,94.46666666666667
100000,94.77600000000001
110000,95.02272727272727
120000,94.48666666666666
130000,94.50846153846155
140000,94.64857142857143
150000,94.69666666666666
160000,94.5525
170000,94.75176470588235
180000,94.82222222222222
190000,94.78210526315789
200000,94.759
210000,94.83571428571429
220000,95.01636363636364
230000,95.17434782608696
240000,95.31333333333333
250000,95.4064
260000,95.43576923076922
270000,95.45666666666666
280000,95.39714285714285
290000,95.52275862068966
300000,95.64733333333334
310000,95.7074193548387
320000,95.7590625
330000,95.67878787878787
340000,95.6170588235294
350000,95.65628571428572
360000,95.75277777777778
370000,95.75702702702704
380000,95.7428947368421
390000,95.74820512820513
400000,95.83225
