Number of Branches Processed,Accuracy (%)
10000,71.67999999999999
20000,75.77000000000001
30000,74.16666666666667
40000,75.735
50000,75.598
60000,75.67
70000,76.02428571428571
80000,77.45875
90000,77.28888888888889
100000,77.438
110000,77.59727272727272
120000,77.125
130000,77.09846153846154
140000,77.30857142857143
150000,77.18466666666667
160000,76.743125
170000,76.9135294117647
180000,76.78
190000,76.96315789473684
200000,77.1245
210000,77.15333333333334
220000,77.41954545454546
230000,77.62217391304348
240000,77.87708333333333
250000,78.1608
260000,78.29846153846154
270000,78.13740740740741
280000,78.06857142857143
290000,78.18896551724139
300000,78.46733333333333
310000,78.67806451612903
320000,78.6696875
330000,78.64878787878787
340000,78.46617647058824
350000,78.404
360000,78.5975
370000,78.45540540540541
380000,78.48526315789474
390000,78.37128205128205
400000,78.46475000000001
