Number of Branches Processed,Accuracy (%)
10000,64.1
20000,60.84
30000,62.29666666666667
40000,62.8925
50000,64.294
60000,63.92
70000,64.30857142857143
80000,64.85499999999999
90000,65.81888888888889
100000,66.497
110000,66.75909090909092
120000,66.73583333333333
130000,67.18923076923076
140000,67.03642857142857
150000,66.90333333333334
160000,66.706875
170000,66.91
180000,67.15277777777777
190000,67.26578947368421
200000,67.0065
210000,67.33333333333333
220000,67.60909090909091
230000,67.85260869565218
240000,68.12041666666667
250000,67.9024
260000,68.1526923076923
270000,68.17592592592592
280000,68.35178571428571
290000,68.45551724137931
300000,68.53200000000001
310000,68.52064516129033
320000,68.4396875
330000,68.54878787878788
340000,68.47147058823529
350000,68.37028571428571
360000,68.4888888888889
370000,68.66432432432433
380000,68.80052631578948
390000,68.71512820512821
400000,68.76
