Number of Branches Processed,Accuracy (%)
10000,82.33
20000,81.38499999999999
30000,82.19
40000,82.155
50000,82.992
60000,82.93166666666667
70000,82.91
80000,82.99875
90000,83.63777777777777
100000,83.82
110000,83.97727272727272
120000,83.8075
130000,84.02230769230769
140000,83.99142857142857
150000,83.91199999999999
160000,83.795625
170000,83.92176470588235
180000,83.99277777777779
190000,84.04631578947368
200000,83.928
210000,84.02857142857142
220000,84.095
230000,84.19956521739131
240000,84.32333333333332
250000,84.2248
260000,84.32461538461538
270000,84.32222222222222
280000,84.33714285714285
290000,84.32310344827586
300000,84.30366666666667
310000,84.27225806451612
320000,84.2509375
330000,84.27969696969697
340000,84.25470588235294
350000,84.20342857142857
360000,84.21944444444445
370000,84.29756756756757
380000,84.33157894736843
390000,84.2651282051282
400000,84.274
