Number of Branches Processed,Accuracy (%)
10000,80.43
20000,79.36999999999999
30000,81.25666666666666
40000,81.4725
50000,82.048
60000,82.125
70000,82.40714285714286
80000,82.675
90000,83.21777777777778
100000,83.535
110000,83.69
120000,83.76416666666667
130000,84.07076923076923
140000,84.16
150000,84.01333333333334
160000,84.0125
170000,84.20764705882353
180000,84.33277777777778
190000,84.43
200000,84.3325
210000,84.58428571428571
220000,84.75681818181819
230000,84.87391304347827
240000,85.04041666666666
250000,84.9712
260000,85.0776923076923
270000,85.12333333333333
280000,85.21071428571429
290000,85.30931034482758
300000,85.35933333333332
310000,85.34387096774194
320000,85.3165625
330000,85.42757575757575
340000,85.37352941176471
350000,85.31971428571428
360000,85.41222222222223
370000,85.50621621621622
380000,85.56684210526316
390000,85.53487179487179
400000,85.55825
