Number of Branches Processed,Accuracy (%)
10000,70.67
20000,67.025
30000,69.38
40000,69.485
50000,71.056
60000,70.755
70000,70.87
80000,71.46625
90000,72.5788888888889
100000,73.202
110000,73.44363636363637
120000,73.42416666666666
130000,73.90384615384616
140000,73.825
150000,73.63066666666667
160000,73.53875
170000,73.67941176470588
180000,73.89555555555556
190000,73.97684210526316
200000,73.7415
210000,74.04571428571428
220000,74.27136363636365
230000,74.47260869565217
240000,74.7425
250000,74.53840000000001
260000,74.76923076923076
270000,74.80481481481482
280000,74.93071428571429
290000,75.0044827586207
300000,75.061
310000,75.02064516129032
320000,74.95
330000,75.03363636363638
340000,74.96823529411765
350000,74.854
360000,74.92750000000001
370000,75.09081081081081
380000,75.17842105263158
390000,75.10205128205129
400000,75.15225
