Number of Branches Processed,Accuracy (%)
10000,67.84
20000,63.91
30000,66.43333333333334
40000,66.52
50000,67.39
60000,66.945
70000,67.14571428571429
80000,67.7825
90000,68.55111111111111
100000,69.155
110000,69.32818181818182
120000,69.34583333333333
130000,69.81923076923077
140000,69.71214285714285
150000,69.45333333333333
160000,69.33562500000001
170000,69.50058823529412
180000,69.68277777777779
190000,69.77684210526316
200000,69.49300000000001
210000,69.86904761904762
220000,70.18136363636364
230000,70.31086956521739
240000,70.55583333333333
250000,70.2868
260000,70.48038461538462
270000,70.49555555555555
280000,70.62357142857142
290000,70.69793103448276
300000,70.779
310000,70.73838709677419
320000,70.6634375
330000,70.7909090909091
340000,70.67117647058824
350000,70.55885714285715
360000,70.65222222222222
370000,70.7754054054054
380000,70.88973684210526
390000,70.80538461538461
400000,70.81925
