Number of Branches Processed,Accuracy (%)
10000,97.35000000000001
20000,97.91
30000,98.07333333333334
40000,98.175
50000,98.172
60000,98.27
70000,98.31285714285714
80000,98.36500000000001
90000,98.39888888888889
100000,98.421
110000,98.45636363636365
120000,98.485
130000,98.51384615384615
140000,98.29714285714286
150000,98.31133333333332
160000,98.34625
170000,98.38176470588236
180000,98.39833333333333
190000,98.39526315789475
200000,98.409
210000,98.41190476190476
220000,98.43363636363637
230000,98.45086956521739
240000,98.45916666666666
250000,98.4644
260000,98.46615384615384
270000,98.45814814814815
280000,98.46107142857143
290000,98.4648275862069
300000,98.47666666666667
310000,98.47774193548388
320000,98.4778125
330000,98.4921212121212
340000,98.49794117647059
350000,98.50571428571429
360000,98.50999999999999
370000,98.52027027027027
380000,98.52052631578947
390000,98.52410256410256
400000,98.53225
