Number of Branches Processed,Accuracy (%)
10000,97.09
20000,97.92
30000,98.19
40000,98.4325
50000,98.462
60000,98.64666666666668
70000,98.73428571428572
80000,98.82875
90000,98.89222222222223
100000,98.926
110000,99.00363636363636
120000,99.05166666666668
130000,99.1076923076923
140000,98.81071428571428
150000,98.81
160000,98.8775
170000,98.94352941176471
180000,98.97833333333334
190000,98.96157894736842
200000,98.98700000000001
210000,99.00714285714287
220000,99.04636363636364
230000,99.07652173913043
240000,99.08708333333334
250000,99.1036
260000,99.10461538461539
270000,99.0911111111111
280000,99.10642857142858
290000,99.11724137931034
300000,99.13499999999999
310000,99.1383870967742
320000,99.1390625
330000,99.16484848484849
340000,99.17205882352941
350000,99.188
360000,99.19722222222222
370000,99.21621621621621
380000,99.21631578947368
390000,99.2225641025641
400000,99.23875
