Number of Branches Processed,Accuracy (%)
10000,90.5
20000,93.51
30000,94.45666666666666
40000,95.1425
50000,95.172
60000,95.50166666666667
70000,95.68142857142857
80000,95.84125
90000,95.99111111111111
100000,96.076
110000,96.21545454545455
120000,96.31166666666667
130000,96.39999999999999
140000,96.15928571428572
150000,96.17733333333334
160000,96.28875000000001
170000,96.39058823529412
180000,96.43944444444445
190000,96.43368421052631
200000,96.4765
210000,96.51666666666667
220000,96.57363636363637
230000,96.62347826086956
240000,96.6375
250000,96.6532
260000,96.64692307692307
270000,96.63925925925926
280000,96.65892857142858
290000,96.66827586206897
300000,96.69466666666666
310000,96.70838709677419
320000,96.71875
330000,96.75424242424242
340000,96.75911764705883
350000,96.77857142857142
360000,96.80083333333333
370000,96.8327027027027
380000,96.8371052631579
390000,96.85102564102564
400000,96.87774999999999
